version,total_cases,error_rate,top1_accuracy_strict,top1_accuracy_acceptable,top3_accuracy_strict,top3_accuracy_acceptable,unknown_rate,behavior_match_rate,expected_no_answer_recall,expected_human_review_recall,expected_blocked_recall,human_review_rate,no_answer_rate,injection_detection_rate,guardrail_trigger_rate,retrieved_source_coverage,used_source_coverage,retrieved_expected_source_match_rate,used_expected_source_match_rate,retrieval_expansion_rate,avg_confidence,avg_calibrated_confidence,avg_risk_score,avg_completeness_score,avg_completeness_ratio,avg_covered_key_information,missing_info_question_rate,avg_processing_time_seconds,false_draft_risky_rate
v1,400,0.0,0.79,0.86,0.875,0.91,0.155,0.43,0.0,0.0,0.0,,,,,,,,,,0.6833,,,,0.1687,0.665,0.01,1.9201,1.0
v2,400,0.0,0.795,0.865,0.8725,0.905,0.1825,0.43,0.0,0.0,0.0,,,,,1.0,1.0,0.6812,0.6812,,0.7582,,,,0.3746,1.5,0.8967,7.0386,1.0
v3,400,0.0,0.79,0.8675,0.87,0.905,0.19,0.5375,0.6579,0.293,0.4545,0.4975,0.19,0.03,0.47,1.0,0.81,0.6812,0.6303,,0.7474,,,,0.3376,1.355,0.7967,5.6915,0.4176
v4,400,0.0,0.78,0.8475,0.86,0.8875,0.215,0.5525,0.7105,0.2548,0.4545,0.465,0.215,0.03,0.425,1.0,0.745,0.6783,0.6022,,0.7296,,2.715,,0.3378,1.355,0.7533,5.4727,0.4471
v5,400,0.0175,0.775,0.815,0.85,0.8825,0.0865,0.5525,0.3947,0.7548,0.9545,0.9796,0.1145,0.0585,0.2366,0.9415,0.7074,0.7888,0.5795,0.1578,0.8098,0.5759,3.6718,0.4634,0.2839,1.135,0.7333,12.3029,0.0118
