top1_accuracy,top3_accuracy,unknown_rate,human_review_rate,escalation_rate,blocked_rate,auto_draft_rate,avg_risk_score,retrieved_source_coverage,used_source_coverage,avg_completeness_score,total_cases,v5_department_accuracy,v5_division_accuracy,v5_team_accuracy,chunk_count,avg_chunk_chars,min_chunk_chars,max_chunk_chars,strategy,model_profile_id,model_profile_label,testset_file,knowledge_base,avg_processing_time_seconds
0.72,0.9,0.04,1.0,0.0,0.04,0.0,2.92,0.96,0.82,0.434,50,0.72,0.58,0.4,3465,491.17,6,500,fixed,local_baseline,Local Baseline,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\inquiries\chunking_evaluation_cases.csv,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\knowledge_base\v5,13.6448
0.72,0.9,0.04,1.0,0.0,0.04,0.0,3.4,0.96,0.58,0.324,50,0.72,0.58,0.4,1773,914.61,161,1797,structure,local_baseline,Local Baseline,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\inquiries\chunking_evaluation_cases.csv,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\knowledge_base\v5,16.5848
0.72,0.9,0.04,1.0,0.0,0.04,0.0,2.92,0.96,0.8,0.412,50,0.72,0.58,0.4,2482,616.35,85,1277,sentence_aware,local_baseline,Local Baseline,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\inquiries\chunking_evaluation_cases.csv,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\knowledge_base\v5,13.7085
0.94,0.94,0.06,0.96,0.02,0.04,0.04,2.6,0.96,0.9,0.66,50,0.94,0.88,0.86,3465,491.17,6,500,fixed,openai_baseline,OpenAI Baseline,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\inquiries\chunking_evaluation_cases.csv,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\knowledge_base\v5,12.9051
0.94,0.94,0.06,0.98,0.02,0.04,0.02,2.6,0.96,0.9,0.684,50,0.94,0.88,0.86,1773,914.61,161,1797,structure,openai_baseline,OpenAI Baseline,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\inquiries\chunking_evaluation_cases.csv,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\knowledge_base\v5,11.3755
0.94,0.94,0.06,0.96,0.02,0.04,0.04,2.72,0.96,0.88,0.616,50,0.94,0.88,0.88,2482,616.35,85,1277,sentence_aware,openai_baseline,OpenAI Baseline,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\inquiries\chunking_evaluation_cases.csv,C:\Users\Lukas\PycharmProjects\AI-E-Mail-Routing\prototype\data\knowledge_base\v5,10.6097
