model_profile_id,model_profile_label,llm_model,answer_generation_llm_model,retrieval_embedding_model,total_cases,error_rate,top1_accuracy_strict,top1_accuracy_acceptable,top3_accuracy_strict,top3_accuracy_acceptable,unknown_rate,behavior_match_rate,expected_no_answer_recall,expected_human_review_recall,expected_blocked_recall,human_review_rate,no_answer_rate,injection_detection_rate,guardrail_trigger_rate,retrieved_source_coverage,used_source_coverage,retrieved_expected_source_match_rate,used_expected_source_match_rate,retrieval_expansion_rate,avg_confidence,avg_calibrated_confidence,avg_risk_score,avg_completeness_score,avg_completeness_ratio,avg_covered_key_information,missing_info_question_rate,avg_processing_time_seconds,false_draft_risky_rate
local_baseline,Local Baseline,llama3.1,llama3.1,all-MiniLM-L6-v2,1000,0.0,0.745,0.804,0.85,0.878,0.141,0.51,0.3368,0.2408,0.3636,0.6117,0.19,0.0367,0.3833,0.9875,0.7862,0.5635,0.4712,0.22,0.7903,0.5169,3.2775,0.3275,0.2656,1.063,0.6387,7.6255,0.6
openai_baseline,OpenAI Baseline,gpt-4o-mini,gpt-4o-mini,text-embedding-3-small,1000,0.007,0.827,0.898,0.881,0.918,0.1913,0.491,0.3684,0.2803,0.3818,0.6796,0.1568,0.0422,0.3727,0.9836,0.8462,0.8513,0.7754,0.0933,0.7003,0.6372,3.0992,0.6041,0.3355,1.341,0.6373,5.3449,0.5506
