version,category,model_profile_id,model_profile_label,total_cases,error_rate,top1_accuracy_strict,top1_accuracy_acceptable,top3_accuracy_strict,top3_accuracy_acceptable,unknown_rate,behavior_match_rate,expected_no_answer_recall,expected_human_review_recall,expected_blocked_recall,human_review_rate,no_answer_rate,injection_detection_rate,guardrail_trigger_rate,retrieved_source_coverage,used_source_coverage,retrieved_expected_source_match_rate,used_expected_source_match_rate,retrieval_expansion_rate,avg_confidence,avg_calibrated_confidence,avg_risk_score,avg_completeness_score,avg_completeness_ratio,avg_covered_key_information,missing_info_question_rate,avg_processing_time_seconds,false_draft_risky_rate
v3,injection,openai_baseline,OpenAI Baseline,10,0.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,,,,0.0,,,,0.0,0.0,,1.3459,0.0
v3,multi_intent,openai_baseline,OpenAI Baseline,14,0.0,0.7143,0.9286,0.7857,0.9286,0.0714,0.3571,0.0,0.4286,,0.5,0.0714,0.0,0.5,1.0,0.9286,0.6429,0.619,,0.8357,,,,0.3024,1.0714,0.7143,6.6346,
v3,realistic,openai_baseline,OpenAI Baseline,27,0.0,0.8148,0.9259,0.963,1.0,0.037,0.6296,0.5,0.5556,,0.5556,0.037,0.0,0.4815,1.0,0.963,0.8067,0.8067,,0.8185,,,,0.3932,1.4444,0.8824,5.6136,
v3,standard,openai_baseline,OpenAI Baseline,55,0.0,0.8,0.8545,0.8727,0.8727,0.1273,0.4182,,0.4231,,0.6,0.1273,0.0,0.5818,1.0,0.8727,0.9455,0.8273,,0.7655,,,,0.493,1.9273,0.7879,5.3541,
v3,unanswerable,openai_baseline,OpenAI Baseline,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,,,,0.0,0.0,0.0,1.5227,0.0
v4,ambiguous,local_baseline,Local Baseline,19,0.0,0.7368,0.9474,0.9474,1.0,0.1053,0.5263,1.0,0.3158,,0.4211,0.1053,0.0,0.3158,1.0,0.8947,0.3611,0.3611,,0.8526,,1.6316,,0.2246,0.8421,0.8947,6.5755,
v4,email_like,local_baseline,Local Baseline,44,0.0,0.7955,0.8409,0.8636,0.8864,0.1364,0.3636,0.0,0.1026,0.0,0.25,0.1364,0.0227,0.25,1.0,0.8409,0.4127,0.3413,,0.825,,1.8182,,0.3636,1.5909,0.8837,6.7565,0.75
v4,high_risk,local_baseline,Local Baseline,25,0.0,0.68,0.72,0.76,0.76,0.4,0.72,0.8571,0.32,,0.72,0.4,0.0,0.68,1.0,0.44,0.3611,0.25,,0.626,,5.16,,0.122,0.52,0.56,4.732,0.28
v4,injection,local_baseline,Local Baseline,10,0.0,0.9,0.9,0.9,0.9,0.9,0.5,,0.0,0.5,0.9,0.9,0.5,0.9,1.0,0.1,,,,0.33,,9.3,,0.0,0.0,,2.3286,0.1
v4,multi_intent,local_baseline,Local Baseline,14,0.0,0.6429,0.8571,0.7143,0.8571,0.1429,0.4286,0.0,0.2857,,0.4286,0.1429,0.0,0.4286,1.0,0.8571,0.4167,0.2857,,0.85,,2.2857,,0.156,0.5714,0.8571,7.4008,
v4,realistic,local_baseline,Local Baseline,27,0.0,0.7778,0.8148,0.8889,0.9259,0.1481,0.6667,1.0,0.3333,,0.4444,0.1481,0.0,0.4074,1.0,0.8148,0.4733,0.4333,,0.7963,,2.2222,,0.3117,1.1481,0.8235,6.4201,
v4,standard,local_baseline,Local Baseline,55,0.0,0.7273,0.7636,0.8545,0.8545,0.0727,0.6364,,0.3462,,0.3091,0.0727,0.0,0.2727,1.0,0.8545,0.7545,0.6909,,0.8836,,1.0545,,0.4567,1.8,0.8485,6.5277,
v4,unanswerable,local_baseline,Local Baseline,6,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333,,0.8333,0.5,0.0,0.8333,1.0,0.3333,,,,0.55,,4.6667,,0.0,0.0,0.5,3.8099,0.1667
v4,ambiguous,openai_baseline,OpenAI Baseline,19,0.0,0.7368,0.8947,0.7895,0.9474,0.1053,0.3158,0.0,0.2105,,0.3158,0.1053,0.0,0.3158,1.0,0.8947,0.6945,0.6111,,0.8,,1.4211,,0.2728,1.0526,0.8421,5.3543,
v4,email_like,openai_baseline,OpenAI Baseline,44,0.0,0.8409,0.9091,0.8864,0.9091,0.1364,0.4318,0.0,0.2308,0.0,0.3636,0.1364,0.0227,0.3409,1.0,0.8182,0.8492,0.7698,,0.7841,,2.0,,0.4989,2.1818,0.8605,5.4322,0.6364
v4,high_risk,openai_baseline,OpenAI Baseline,25,0.0,0.8,0.8,0.8,0.8,0.48,0.76,1.0,0.28,,0.76,0.48,0.0,0.64,1.0,0.52,0.8056,0.6574,,0.444,,5.64,,0.188,0.8,0.52,3.6065,0.24
v4,injection,openai_baseline,OpenAI Baseline,10,0.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,,,,0.0,,10.5,,0.0,0.0,,1.5639,0.0
v4,multi_intent,openai_baseline,OpenAI Baseline,14,0.0,0.7143,0.9286,0.7857,0.9286,0.0714,0.3571,0.0,0.1429,,0.2143,0.0714,0.0,0.2143,1.0,0.9286,0.6429,0.619,,0.7857,,1.2857,,0.3024,1.0714,0.7143,5.6669,
v4,realistic,openai_baseline,OpenAI Baseline,27,0.0,0.8148,0.8889,0.963,0.963,0.1111,0.7037,1.0,0.4444,,0.4815,0.1111,0.0,0.3704,1.0,0.8519,0.8067,0.8067,,0.7481,,2.0741,,0.3827,1.4074,0.7059,5.281,
v4,standard,openai_baseline,OpenAI Baseline,55,0.0,0.8182,0.8727,0.8909,0.8909,0.1091,0.5636,,0.4231,,0.4909,0.1091,0.0,0.4364,1.0,0.8545,0.9455,0.8182,,0.7836,,1.6727,,0.54,2.1091,0.697,5.2519,
v4,unanswerable,openai_baseline,OpenAI Baseline,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,,8.0,,0.0,0.0,0.0,1.5214,0.0
v5,ambiguous,local_baseline,Local Baseline,19,0.0,0.4737,0.5789,0.6842,0.7895,0.0526,0.8947,1.0,0.6842,,1.0,0.3158,0.0,0.4211,1.0,0.5789,0.4907,0.1852,0.2105,0.8579,0.52,3.8421,0.2895,0.1228,0.4211,0.5789,12.8792,
v5,email_like,local_baseline,Local Baseline,44,0.0,0.8636,0.8864,0.9091,0.9318,0.0227,0.5909,0.0,0.8462,1.0,1.0,0.1136,0.0227,0.3182,0.9773,0.6591,0.7143,0.4762,0.25,0.8477,0.5597,3.4091,0.3909,0.3114,1.3864,0.7442,18.1982,0.0
v5,high_risk,local_baseline,Local Baseline,25,0.0,0.6,0.6,0.68,0.68,0.0,1.0,0.4286,0.68,,1.0,0.32,0.0,0.6,1.0,0.4,0.3056,0.0833,0.28,0.922,0.4419,5.32,0.2,0.108,0.48,0.44,18.0035,0.0
v5,injection,local_baseline,Local Baseline,10,0.0,1.0,1.0,1.0,1.0,1.0,0.9,,0.0,0.9,1.0,0.1,0.9,0.1,0.1,0.0,,,0.1,0.0,0.0,10.9,0.0,0.0,0.0,,1.3961,0.0
v5,multi_intent,local_baseline,Local Baseline,14,0.0,0.7857,1.0,0.8571,1.0,0.0,0.8571,0.5,0.9286,,1.0,0.0714,0.0,0.2143,1.0,0.7857,0.5357,0.4167,0.2143,0.8214,0.5857,3.0,0.3571,0.1726,0.5714,0.5714,24.6478,
v5,realistic,local_baseline,Local Baseline,27,0.0,0.6296,0.6296,0.9259,0.9259,0.037,0.4815,0.5,0.7222,,1.0,0.2593,0.0,0.3333,1.0,0.6667,0.7133,0.44,0.1111,0.8926,0.5736,3.8148,0.3556,0.2654,0.963,0.7059,14.0614,
v5,standard,local_baseline,Local Baseline,55,0.0,0.8182,0.8182,0.9455,0.9455,0.0,0.0909,,0.8846,,1.0,0.1091,0.0,0.3455,1.0,0.6545,0.9,0.5818,0.2364,0.8945,0.5819,2.9091,0.4145,0.3324,1.3091,0.7273,16.7289,
v5,unanswerable,local_baseline,Local Baseline,6,0.0,0.1667,0.1667,0.1667,0.1667,0.1667,0.5,0.5,0.5,,1.0,0.5,0.0,0.6667,1.0,0.3333,,,0.3333,0.7333,0.3543,5.0,0.0667,0.0,0.0,0.3333,10.7571,0.0
v5,ambiguous,openai_baseline,OpenAI Baseline,19,0.0526,0.7895,0.8947,0.8947,0.8947,0.0,0.8947,0.0,0.8947,,0.9444,0.0,0.0,0.0,1.0,1.0,0.75,0.5926,0.0,0.8556,0.7495,2.0556,0.6944,0.2526,0.9474,0.9474,8.9688,
v5,email_like,openai_baseline,OpenAI Baseline,44,0.0682,0.8409,0.9091,0.8636,0.9091,0.0244,0.5682,0.0,0.8462,1.0,0.9512,0.0,0.0244,0.0244,0.9756,0.9512,0.881,0.754,0.0244,0.8707,0.7175,2.4878,0.6732,0.4295,1.8864,0.907,9.018,0.0455
v5,high_risk,openai_baseline,OpenAI Baseline,25,0.0,0.64,0.64,0.68,0.68,0.04,1.0,0.0,0.96,,1.0,0.0,0.04,0.36,0.96,0.64,0.9259,0.6204,0.32,0.836,0.5209,4.56,0.472,0.154,0.68,0.68,9.5592,0.0
v5,injection,openai_baseline,OpenAI Baseline,10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,,0.7634,0.0
v5,multi_intent,openai_baseline,OpenAI Baseline,14,0.0,0.6429,0.8571,0.7143,1.0,0.0714,0.8571,1.0,0.8571,,1.0,0.1429,0.0,0.1429,1.0,0.8571,0.75,0.4405,0.0714,0.8,0.6441,3.2857,0.6429,0.2583,0.8571,0.7143,9.0325,
v5,realistic,openai_baseline,OpenAI Baseline,27,0.037,0.8519,0.8889,0.8519,0.8889,0.0,0.4074,0.0,0.8333,,0.8846,0.0,0.0,0.0769,1.0,0.9231,0.84,0.72,0.0769,0.8769,0.7221,2.4231,0.6731,0.358,1.2963,0.8824,8.7506,
v5,standard,openai_baseline,OpenAI Baseline,55,0.0,0.9091,0.9273,0.9273,0.9455,0.0545,0.1273,,0.8077,,0.9636,0.0364,0.0182,0.0364,0.9818,0.9455,0.9727,0.8727,0.0364,0.8436,0.7136,2.3818,0.6945,0.4751,1.8545,0.9091,9.1553,
v5,unanswerable,openai_baseline,OpenAI Baseline,6,0.3333,0.6667,0.6667,0.6667,0.6667,1.0,0.6667,0.6667,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.7098,0.0
